x_nans,age,gender,income,DOB
-0.7364310772172493,72.0,,46250.0,
-0.7877821636865565,43.0,F,40211.0,1994-05-10
-0.6563519540002513,30.0,F,32587.0,1970-12-29
0.5478076502688674,47.0,F,36051.0,2007-02-01
0.5314124698570342,49.0,,41210.0,2002-01-27
-0.8545998589514264,,,33923.0,1917-07-30
0.413894492685463,55.0,M,48654.0,
-0.08990853505509971,41.0,,,
0.22345921140356353,,,,2012-09-15
,69.0,,,1955-06-09
,63.0,M,46165.0,1926-07-16
0.13017264164340694,32.0,F,35125.0,1967-01-14
-0.8771056361259428,53.0,F,41679.0,
1.2042188325924565,30.0,F,,1969-12-21
,,F,35377.0,1994-07-11
1.3292855592500923,,F,35819.0,1925-05-06
0.16129259774753468,70.0,M,,1946-05-23
0.47699988800265736,38.0,F,35685.0,1983-01-05
-0.06092805863264828,30.0,F,28471.0,
-0.11696468670296283,63.0,,45467.0,1929-03-26
,78.0,M,52208.0,
0.5711024824957273,39.0,,34739.0,
,44.0,F,41107.0,
-2.0062053199247787,,F,37039.0,2014-08-30
,,,,1983-06-15
,,F,,1947-05-04
-0.8951820158303551,,,,1952-04-17
-0.614140393576214,47.0,F,34672.0,1969-05-28
1.814027359549141,,M,43469.0,1962-01-18
,39.0,F,32377.0,1961-08-12
0.22899896990871574,,,47481.0,1963-11-04
0.39584040107454493,32.0,F,33591.0,1934-10-19
-1.8787628922337143,,F,37838.0,
-1.3455083084339559,72.0,M,46081.0,1914-07-06
,,,34781.0,2020-05-23
,37.0,F,30843.0,1986-02-23
-0.25490929727622036,54.0,F,,1948-06-02
1.5512708662498793,,,,
1.819969659411649,70.0,M,49891.0,1954-06-30
-0.8078744507142833,64.0,,45071.0,1971-10-16
0.4076633176242411,,,40759.0,1995-12-04
1.6285313876221768,51.0,,38083.0,1897-11-19
,59.0,M,,1982-05-13
,25.0,F,29050.0,1951-08-22
-0.7214998074453951,58.0,,41936.0,1959-03-16
-0.3994852736932877,,F,,1974-05-24
0.182340978337922,45.0,,39436.0,1940-08-30
2.199791907824634,,M,42651.0,1987-07-30
1.0698038212069267,30.0,F,30979.0,
-0.4897118823789369,,M,43183.0,1984-07-12
-0.26020503239945325,32.0,,,
1.849188596592832,49.0,F,,1924-03-06
0.15723909731707814,34.0,F,34567.0,
,48.0,F,39743.0,1898-12-29
-0.4920540747712957,,F,35044.0,1997-10-02
1.390444459130929,64.0,F,,
,,F,40471.0,1940-02-07
-0.31513372217606317,59.0,F,,2011-04-04
-0.023554806837515842,61.0,M,,
0.3801313608036791,55.0,M,43428.0,1947-03-11
-1.1938784098116222,,,32135.0,2017-06-15
1.63000325384932,,M,42473.0,1956-02-02
-1.1798631763193126,,F,39822.0,1931-07-07
1.0804032084643473,,F,35341.0,1941-09-02
,,,39381.0,
,67.0,M,47726.0,1938-04-05
1.6235606901889619,48.0,,39963.0,1932-07-02
0.832841125427418,50.0,M,43394.0,1967-01-08
0.7540911908566946,49.0,,,1972-11-24
-0.90599187022258,54.0,M,,1973-11-20
0.52948806998002,30.0,F,35457.0,1985-02-22
,,M,42525.0,
,60.0,,,1949-09-27
-0.36506555828455284,,F,42004.0,2019-09-22
-0.24151712461826957,41.0,F,41441.0,1970-09-30
0.5451957925511998,54.0,M,43411.0,1988-08-29
0.46087442115964106,43.0,F,34162.0,
-0.2216281589360928,,F,37847.0,
-0.8967451957614796,44.0,F,40731.0,1984-08-10
,,F,35940.0,1983-12-12
0.4190744072144351,69.0,F,43409.0,
0.44858536384419495,25.0,F,29396.0,1967-09-09
-1.3323014037660839,28.0,,34122.0,1889-09-26
0.6209129013724182,40.0,F,38877.0,1960-08-03
0.3132768222218807,,F,34127.0,1940-01-28
-0.900086131290363,,M,,1972-02-07
,73.0,,,1916-02-03
0.27945595453457606,51.0,,43463.0,2017-04-19
1.1348718131541538,43.0,F,36404.0,
2.062052238658243,17.0,,,
0.38941667316228684,61.0,M,40778.0,1994-04-14
0.33801960520525587,38.0,F,,1937-02-14
0.10222913620162068,52.0,M,40547.0,
-1.2132845206256282,49.0,F,,1948-08-08
-0.5080706695238221,68.0,,42468.0,
-0.9198698931285195,40.0,F,33627.0,1997-05-13
-0.9393637040876154,43.0,F,32718.0,1935-10-15
-1.4430962384895292,40.0,F,,
,51.0,M,41649.0,
,59.0,,,1997-02-10
-0.5864121334535024,39.0,F,29862.0,1974-04-05
-1.0828592707335305,,M,45114.0,1874-04-29
0.21842112699798802,,F,40762.0,1980-06-25
0.8187702851536608,26.0,F,31454.0,
0.26186690504343035,16.0,,26597.0,1961-09-06
-0.9756134702960925,26.0,F,29343.0,1914-01-13
2.147221842183628,,,31951.0,1998-08-27
,48.0,F,39548.0,
1.999031166648257,63.0,F,41227.0,
-0.6629214131778219,53.0,,,
0.7821670931456794,53.0,,,
-0.08465965601786678,49.0,,39169.0,1920-02-12
-1.0512852563651731,30.0,,35723.0,1963-05-05
0.9791510665142921,42.0,,36213.0,1951-05-28
-1.1063248162086814,50.0,,,1957-08-07
,69.0,M,46814.0,1947-03-17
-1.3802254221649322,92.0,M,,1937-06-04
-1.633257647017554,44.0,F,38017.0,1975-10-07
0.3255911750843157,,F,37004.0,2012-07-20
,,F,40159.0,1938-12-06
,59.0,M,,1970-11-25
1.3942679440868628,,F,40775.0,1971-07-14
-0.2006347461081167,,F,,1949-10-25
,39.0,F,38692.0,1999-01-04
-0.2531753726749449,61.0,M,44224.0,2012-02-05
,87.0,M,,
-1.2255913562359226,27.0,F,32258.0,1931-11-01
0.49563127323670547,,M,45135.0,1958-11-21
,88.0,M,51482.0,2000-08-06
0.072807463097145,,M,46265.0,
-2.0057551834164906,70.0,M,51017.0,1949-07-14
0.4775662914912973,,,39180.0,
-0.8275906380667649,44.0,F,38495.0,1984-01-11
0.534453966073114,,F,37530.0,1922-07-05
1.4402549001248706,,F,36585.0,
0.21463378318084472,55.0,M,45024.0,1986-04-29
0.1412081175277347,66.0,M,43393.0,
-0.5591630825820295,50.0,F,40055.0,1943-08-28
1.309361343053714,51.0,M,,
-0.5758265392864722,,M,44572.0,
,44.0,F,37133.0,
0.17356136061326638,19.0,F,28913.0,2015-09-12
-0.7660034528208503,,,40556.0,
-0.3716540169222144,14.0,,32938.0,1946-04-02
0.06621112009511268,45.0,F,41643.0,
