ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
1,0.49788,Female,-0.05921,UK,Mixed-White/Asian,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21712,-1.18084,CL5,CL2,CL0,CL2,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
2,-0.07854,Male,1.98437,UK,White,-0.67825,1.93886,1.43533,0.76096,-0.14277,-0.71126,-0.21575,CL5,CL2,CL2,CL0,CL6,CL4,CL6,CL3,CL0,CL4,CL0,CL2,CL0,CL2,CL3,CL0,CL4,CL0,CL0
3,0.49788,Male,-0.05921,UK,White,-0.46725,0.80523,-0.84732,-1.6209,-1.0145,-1.37983,0.40148,CL6,CL0,CL0,CL0,CL6,CL3,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL0
4,-0.95197,Female,1.16365,UK,White,-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,CL4,CL0,CL0,CL3,CL5,CL2,CL4,CL2,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL0,CL2,CL0,CL0
5,0.49788,Female,1.98437,UK,White,0.73545,-1.6334,-0.45174,-0.30172,1.30612,-0.21712,-0.21575,CL4,CL1,CL1,CL0,CL6,CL3,CL6,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0,CL2,CL2,CL0,CL0
6,2.59171,Female,-1.22751,Canada,White,-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,CL2,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
7,1.09449,Male,1.16365,USA,White,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,CL6,CL0,CL0,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
8,0.49788,Male,-1.7379,UK,White,-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,CL5,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
9,0.49788,Female,-0.05921,Canada,White,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
10,1.82213,Male,1.16365,UK,White,-0.24649,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,CL6,CL1,CL0,CL1,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
11,-0.07854,Female,0.45468,UK,White,-1.05308,0.80523,-1.11902,-0.76096,1.81175,0.19268,0.07987,CL5,CL0,CL1,CL0,CL6,CL2,CL5,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL1
12,1.09449,Male,-0.61113,Other,White,-1.32828,0.00332,0.14143,-1.92595,-0.52745,0.52975,1.2247,CL5,CL1,CL0,CL0,CL6,CL4,CL5,CL2,CL0,CL3,CL0,CL0,CL0,CL1,CL0,CL2,CL6,CL0,CL0
13,1.82213,Female,0.45468,UK,White,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987,CL5,CL1,CL0,CL4,CL6,CL3,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL1,CL6,CL0,CL0
14,1.82213,Female,-0.05921,Canada,White,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,CL1,CL0,CL0,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
15,1.82213,Female,-0.05921,UK,White,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
16,1.82213,Male,0.45468,UK,White,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,CL5,CL2,CL2,CL0,CL6,CL1,CL5,CL2,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
17,0.49788,Female,-0.61113,UK,White,-1.55078,-0.80615,-1.68062,0.28783,0.7583,-0.21712,-2.07848,CL6,CL0,CL0,CL1,CL6,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
18,1.09449,Male,-1.7379,UK,White,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,-1.37983,-0.84637,CL6,CL1,CL1,CL0,CL6,CL6,CL4,CL1,CL0,CL1,CL0,CL2,CL0,CL1,CL0,CL1,CL6,CL0,CL0
19,1.82213,Male,0.45468,Australia,White,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,CL6,CL2,CL0,CL2,CL6,CL3,CL6,CL2,CL0,CL2,CL0,CL0,CL2,CL1,CL0,CL1,CL0,CL0,CL0
20,0.49788,Male,-0.05921,UK,White,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,CL4,CL1,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL6,CL0,CL1,CL0,CL0
21,1.09449,Male,-0.05921,UK,White,-0.79151,0.80523,0.7233,1.61108,-1.13788,0.19268,-0.21575,CL6,CL1,CL1,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL0
22,2.59171,Male,-2.43591,UK,White,-1.1943,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
23,1.09449,Male,0.45468,UK,White,0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,CL4,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
24,1.09449,Male,-1.7379,UK,White,1.60383,-3.27393,-1.27553,0.28783,-1.0145,-1.37983,-1.54858,CL6,CL2,CL1,CL5,CL6,CL2,CL6,CL2,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL1
25,1.82213,Male,0.45468,UK,White,-0.14882,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,CL5,CL1,CL1,CL1,CL5,CL1,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
26,1.09449,Male,-0.61113,UK,White,-0.79151,-0.43999,-1.27553,0.94156,-0.00665,-0.21712,0.40148,CL5,CL1,CL2,CL0,CL6,CL1,CL5,CL2,CL0,CL2,CL0,CL0,CL3,CL2,CL0,CL2,CL1,CL0,CL0
27,1.82213,Female,-1.22751,Canada,White,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,0.19268,-1.54858,CL6,CL0,CL0,CL2,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
28,0.49788,Male,0.45468,UK,White,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,CL6,CL1,CL1,CL2,CL6,CL6,CL5,CL1,CL0,CL0,CL0,CL0,CL2,CL1,CL0,CL3,CL2,CL0,CL0
