Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
67,male,2,own,,little,1169,6,radio/TV
22,female,2,own,little,moderate,5951,48,radio/TV
49,male,1,own,little,,2096,12,education
45,male,2,free,little,little,7882,42,furniture/equipment
53,male,2,free,little,little,4870,24,car
35,male,1,free,,,9055,36,education
53,male,2,own,quite rich,,2835,24,furniture/equipment
35,male,3,rent,little,moderate,6948,36,car
61,male,1,own,rich,,3059,12,radio/TV
28,male,3,own,little,moderate,5234,30,car
25,female,2,rent,little,moderate,1295,12,car
24,female,2,rent,little,little,4308,48,business
22,female,2,own,little,moderate,1567,12,radio/TV
60,male,1,own,little,little,1199,24,car
28,female,2,rent,little,little,1403,15,car
32,female,1,own,moderate,little,1282,24,radio/TV
53,male,2,own,,,2424,24,radio/TV
25,male,2,own,,little,8072,30,business
44,female,3,free,little,moderate,12579,24,car
31,male,2,own,quite rich,,3430,24,radio/TV
48,male,2,own,little,,2134,9,car
44,male,2,rent,quite rich,little,2647,6,radio/TV
48,male,1,rent,little,little,2241,10,car
44,male,2,own,moderate,moderate,1804,12,car
26,male,2,own,,,2069,10,furniture/equipment
36,male,1,own,little,little,1374,6,furniture/equipment
39,male,1,own,little,,426,6,radio/TV
42,female,2,rent,rich,rich,409,12,radio/TV
34,male,2,own,little,moderate,2415,7,radio/TV
63,male,2,own,little,little,6836,60,business
36,male,2,own,rich,moderate,1913,18,business
27,male,2,own,little,little,4020,24,furniture/equipment
30,male,2,own,moderate,moderate,5866,18,car
57,male,1,rent,,,1264,12,business
33,female,3,own,little,rich,1474,12,furniture/equipment
25,male,1,own,little,moderate,4746,45,radio/TV
31,male,2,free,little,,6110,48,education
37,male,2,own,little,rich,2100,18,radio/TV
37,male,2,own,little,rich,1225,10,domestic appliances
24,male,2,own,little,moderate,458,9,radio/TV
30,male,3,own,quite rich,,2333,30,radio/TV
26,male,2,own,quite rich,moderate,1158,12,radio/TV
44,male,1,own,little,moderate,6204,18,repairs
24,male,2,rent,moderate,little,6187,30,car
58,female,1,free,little,little,6143,48,car
35,female,3,own,little,,1393,11,car
39,male,2,own,quite rich,,2299,36,radio/TV
23,female,0,rent,quite rich,little,1352,6,car
39,male,1,own,little,,7228,11,car
28,female,2,own,moderate,,2073,12,radio/TV
29,male,1,own,,moderate,2333,24,furniture/equipment
30,male,3,own,little,moderate,5965,27,car
25,male,2,own,little,,1262,12,radio/TV
31,male,2,own,,,3378,18,car
57,male,2,free,little,moderate,2225,36,car
26,male,1,own,,,783,6,car
52,male,3,own,,moderate,6468,12,radio/TV
31,female,2,own,little,,9566,36,radio/TV
23,female,3,own,little,rich,1961,18,car
23,female,1,rent,little,little,6229,36,furniture/equipment
27,male,2,own,little,moderate,1391,9,business
50,male,2,own,,moderate,1537,15,radio/TV
61,male,3,free,little,moderate,1953,36,business
25,male,2,own,little,moderate,14421,48,business
26,female,2,own,little,,3181,24,radio/TV
48,male,2,own,,,5190,27,repairs
29,female,2,own,little,,2171,12,radio/TV
22,male,2,own,rich,moderate,1007,12,car
37,male,2,free,little,,1819,36,education
25,female,2,own,,,2394,36,radio/TV
30,female,2,own,little,,8133,36,car
46,male,1,rent,,,730,7,radio/TV
51,male,3,free,little,little,1164,8,vacation/others
41,female,1,own,little,moderate,5954,42,business
40,male,3,own,,little,1977,36,education
66,male,3,free,little,little,1526,12,car
34,male,2,own,little,little,3965,42,radio/TV
51,male,2,own,little,moderate,4771,11,radio/TV
39,male,1,own,,,9436,54,car
22,male,2,own,little,moderate,3832,30,furniture/equipment
44,female,2,own,,,5943,24,radio/TV
47,male,2,own,quite rich,,1213,15,radio/TV
24,female,1,rent,moderate,,1568,18,business
58,female,1,own,little,little,1755,24,vacation/others
52,male,1,own,little,little,2315,10,radio/TV
29,female,3,own,little,,1412,12,business
27,female,2,own,little,moderate,1295,18,furniture/equipment
47,male,2,free,moderate,moderate,12612,36,education
30,male,3,own,moderate,little,2249,18,car
28,male,2,own,little,little,1108,12,repairs
56,male,2,own,little,,618,12,radio/TV
54,male,2,own,little,little,1409,12,car
33,female,1,own,,,797,12,radio/TV
20,male,2,rent,,rich,3617,24,furniture/equipment
54,male,2,own,rich,moderate,1318,12,car
58,male,2,rent,little,moderate,15945,54,business
61,female,2,own,,,2012,12,education
34,male,2,own,moderate,moderate,2622,18,business
36,male,2,own,little,moderate,2337,36,radio/TV
36,male,3,rent,,moderate,7057,20,car
41,male,1,rent,moderate,,1469,24,car
24,male,2,rent,little,moderate,2323,36,radio/TV
24,female,2,own,little,,932,6,radio/TV
35,male,2,rent,little,moderate,1919,9,furniture/equipment
26,male,2,rent,,,2445,12,car
39,male,3,own,little,moderate,11938,24,vacation/others
39,male,3,own,little,,6458,18,car
32,male,2,own,little,moderate,6078,12,car
30,female,2,own,,little,7721,24,furniture/equipment
35,male,2,own,quite rich,moderate,1410,14,business
31,male,2,own,moderate,moderate,1449,6,business
23,female,2,rent,little,rich,392,15,education
28,male,1,rent,little,moderate,6260,18,car
25,female,2,own,little,,7855,36,car
35,male,2,own,quite rich,little,1680,12,radio/TV
47,male,2,own,,,3578,48,radio/TV
30,female,3,own,,little,7174,42,radio/TV
27,female,2,rent,,little,2132,10,furniture/equipment
23,female,2,own,quite rich,little,4281,33,furniture/equipment
36,male,3,own,quite rich,moderate,2366,12,car
25,female,2,own,little,little,1835,21,radio/TV
41,female,3,rent,little,,3868,24,car
24,male,1,rent,little,,1768,12,furniture/equipment
63,male,2,free,little,rich,781,10,car
27,female,2,rent,,moderate,1924,18,furniture/equipment
30,male,2,own,little,little,2121,12,car
40,male,1,own,little,little,701,12,radio/TV
30,male,2,own,little,moderate,639,12,repairs
34,male,3,own,little,moderate,1860,12,car
29,female,2,own,little,little,3499,12,car
24,female,2,own,,moderate,8487,48,car
29,male,2,own,little,little,6887,36,education
27,male,1,own,little,,2708,15,furniture/equipment
47,male,2,free,little,,1984,18,furniture/equipment
21,female,2,own,moderate,,10144,60,radio/TV
38,female,2,own,,,1240,12,radio/TV
27,male,2,own,rich,,8613,27,car
66,male,1,own,quite rich,moderate,766,12,radio/TV
35,male,2,own,,moderate,2728,15,radio/TV
44,female,1,rent,little,rich,1881,12,radio/TV
27,male,0,own,rich,rich,709,6,car
30,female,3,own,little,moderate,4795,36,radio/TV
27,male,3,own,little,little,3416,27,radio/TV
22,male,2,own,little,little,2462,18,furniture/equipment
23,female,2,own,little,,2288,21,furniture/equipment
30,male,2,own,moderate,moderate,3566,48,business
39,female,2,own,little,little,860,6,car
51,female,2,own,moderate,,682,12,car
28,male,2,own,little,little,5371,36,furniture/equipment
46,male,2,own,rich,,1582,18,radio/TV
42,male,2,free,moderate,,1346,6,radio/TV
38,male,2,own,little,,1924,10,radio/TV
24,male,2,own,little,rich,5848,36,radio/TV
29,female,2,rent,rich,moderate,7758,24,car
36,male,3,rent,moderate,moderate,6967,24,business
20,female,2,rent,little,little,1282,12,furniture/equipment
48,male,2,own,moderate,little,1288,9,repairs
45,male,1,own,little,little,339,12,education
38,male,2,own,moderate,moderate,3512,24,car
34,male,1,own,,,1898,6,radio/TV
36,male,2,own,moderate,,2872,24,radio/TV
30,female,2,own,little,,1055,18,car
36,male,2,own,quite rich,,1262,15,domestic appliances
70,male,3,free,little,moderate,7308,10,car
36,male,2,own,quite rich,,909,36,car
32,male,2,own,quite rich,,2978,6,furniture/equipment
33,female,2,own,little,little,1131,18,furniture/equipment
20,female,2,own,rich,moderate,1577,11,furniture/equipment
25,female,2,rent,little,,3972,24,furniture/equipment
31,male,2,own,little,moderate,1935,24,business
33,male,2,rent,little,little,950,15,car
26,female,2,own,little,,763,12,furniture/equipment
34,female,3,own,little,moderate,2064,24,furniture/equipment
33,male,2,own,little,moderate,1414,8,radio/TV
26,male,2,own,little,little,3414,21,education
53,female,3,own,,,7485,30,car
42,male,2,own,little,little,2577,12,furniture/equipment
52,male,2,own,quite rich,little,338,6,radio/TV
31,male,3,rent,little,,1963,12,radio/TV
65,male,2,own,little,little,571,21,car
28,male,2,own,little,,9572,36,business
30,male,3,own,little,moderate,4455,36,business
40,male,1,own,,little,1647,21,car
50,male,2,own,rich,,3777,24,furniture/equipment
36,male,2,own,little,moderate,884,18,car
31,male,2,own,little,,1360,15,radio/TV
74,female,3,free,little,moderate,5129,9,car
68,male,0,free,little,moderate,1175,16,car
20,male,2,own,moderate,little,674,12,radio/TV
33,female,2,own,little,moderate,3244,18,furniture/equipment
54,male,3,own,rich,,4591,24,business
34,male,1,free,moderate,moderate,3844,48,business
36,male,2,own,little,moderate,3915,27,business
29,male,2,rent,little,,2108,6,radio/TV
21,male,2,rent,moderate,moderate,3031,45,radio/TV
34,female,3,own,little,moderate,1501,9,education
28,female,2,own,little,,1382,6,radio/TV
27,female,2,rent,moderate,moderate,951,12,furniture/equipment
36,male,2,free,,moderate,2760,24,car
40,male,3,own,little,moderate,4297,18,furniture/equipment
52,male,2,own,quite rich,,936,9,education
27,male,1,own,little,little,1168,12,car
26,male,2,own,little,,5117,27,business
21,male,2,rent,little,little,902,12,education
38,male,1,own,little,,1495,12,car
38,male,3,free,little,little,10623,30,car
43,male,2,own,little,,1935,12,furniture/equipment
26,male,2,own,little,moderate,1424,12,domestic appliances
21,male,1,own,little,little,6568,24,business
55,male,2,own,rich,,1413,12,car
33,male,2,own,,,3074,9,radio/TV
45,female,1,own,,,3835,36,radio/TV
50,male,2,own,little,little,5293,27,business
66,male,3,own,little,rich,1908,30,business
51,male,2,own,,,3342,36,radio/TV
39,female,1,own,,moderate,932,6,education
31,male,2,own,little,little,3104,18,business
23,male,2,own,little,rich,3913,36,radio/TV
24,male,1,rent,little,little,3021,24,furniture/equipment
64,female,2,own,little,,1364,10,car
26,male,1,own,little,moderate,625,12,radio/TV
23,female,2,rent,,little,1200,12,education
30,male,2,own,little,,707,12,radio/TV
32,male,2,own,,,2978,24,business
30,male,2,own,little,,4657,15,car
27,male,2,own,little,,2613,36,repairs
27,male,2,own,rich,moderate,10961,48,radio/TV
53,male,3,free,little,little,7865,12,furniture/equipment
22,male,2,own,little,,1478,9,radio/TV
22,male,2,free,little,little,3149,24,furniture/equipment
26,male,2,own,little,rich,4210,36,radio/TV
51,male,1,free,quite rich,,2507,9,car
35,male,2,own,moderate,,2141,12,radio/TV
25,male,1,own,little,moderate,866,18,radio/TV
42,male,1,own,little,,1544,4,radio/TV
30,male,3,own,little,little,1823,24,radio/TV
23,male,0,own,,moderate,14555,6,car
61,male,1,rent,moderate,moderate,2767,21,business
35,female,2,own,little,,1291,12,radio/TV
39,male,2,own,little,little,2522,30,radio/TV
29,female,2,own,,little,915,24,car
51,male,2,own,little,,1595,6,radio/TV
24,male,2,free,little,little,4605,48,car
27,female,2,own,little,,1185,12,business
35,female,1,own,quite rich,,3447,12,education
25,male,2,own,little,,1258,24,business
52,male,2,own,little,,717,12,radio/TV
35,male,2,rent,moderate,,1204,6,car
26,male,2,own,little,rich,1925,24,furniture/equipment
22,female,2,rent,little,,433,18,radio/TV
39,female,1,own,rich,little,666,6,car
46,female,1,own,little,rich,2251,12,furniture/equipment
24,female,2,own,little,moderate,2150,30,car
35,male,2,own,moderate,,4151,24,furniture/equipment
24,male,2,own,,moderate,2030,9,furniture/equipment
27,male,1,own,,moderate,7418,60,radio/TV
35,male,1,own,little,,2684,24,radio/TV
29,male,2,free,little,little,2149,12,radio/TV
23,female,2,own,moderate,,3812,15,car
57,female,1,own,moderate,,1154,11,radio/TV
27,male,2,own,little,little,1657,12,furniture/equipment
55,female,2,own,little,little,1603,24,radio/TV
36,male,3,free,little,little,5302,18,car
57,female,1,free,little,,2748,12,education
32,male,1,own,little,,1231,10,car
37,male,2,own,little,moderate,802,15,radio/TV
36,male,2,own,,,6304,36,business
38,female,2,own,little,,1533,24,radio/TV
45,male,3,own,little,little,8978,14,car
25,male,2,own,,,999,24,radio/TV
32,male,2,own,,,2662,18,car
37,female,2,rent,quite rich,,1402,12,furniture/equipment
36,male,3,free,,moderate,12169,48,car
28,male,2,own,little,moderate,3060,48,radio/TV
34,male,1,own,little,little,11998,30,repairs
32,male,2,own,little,,2697,9,radio/TV
26,female,2,own,little,,2404,18,radio/TV
49,male,1,own,,little,1262,12,furniture/equipment
32,female,2,own,little,,4611,6,furniture/equipment
29,male,3,rent,moderate,,1901,24,radio/TV
23,male,2,rent,rich,,3368,15,car
50,male,2,own,little,,1574,12,furniture/equipment
49,male,1,own,,rich,1445,18,radio/TV
63,male,2,own,,,1520,15,furniture/equipment
37,male,2,own,moderate,moderate,3878,24,car
35,female,1,own,little,little,10722,47,car
26,male,2,own,little,little,4788,48,car
31,male,3,free,moderate,moderate,7582,48,vacation/others
49,female,2,own,little,moderate,1092,12,radio/TV
48,male,2,own,little,little,1024,24,radio/TV
26,male,2,own,little,,1076,12,business
28,male,3,rent,little,moderate,9398,36,car
44,female,3,free,little,little,6419,24,car
56,male,2,free,little,rich,4796,42,car
46,male,3,own,,,7629,48,business
26,female,2,own,little,moderate,9960,48,furniture/equipment
20,female,2,rent,,,4675,12,car
45,male,1,own,,,1287,10,car
43,male,2,own,little,,2515,18,furniture/equipment
32,male,2,own,rich,moderate,2745,21,furniture/equipment
54,female,0,own,little,,672,6,car
42,female,2,own,little,moderate,3804,36,radio/TV
37,male,1,own,,rich,1344,24,car
49,male,2,own,little,little,1038,10,car
44,male,2,free,quite rich,,10127,48,car
33,male,2,own,rich,,1543,6,furniture/equipment
24,female,1,rent,,,4811,30,car
33,male,1,own,moderate,little,727,12,radio/TV
24,female,2,own,little,moderate,1237,8,furniture/equipment
22,male,1,rent,little,moderate,276,9,car
40,male,0,free,,moderate,5381,48,vacation/others
25,male,2,own,moderate,,5511,24,furniture/equipment
26,female,2,own,little,rich,3749,24,furniture/equipment
25,male,1,own,little,moderate,685,12,car
29,male,1,own,,rich,1494,4,car
31,male,2,own,little,little,2746,36,furniture/equipment
38,male,1,own,little,little,708,12,furniture/equipment
48,female,1,own,,moderate,4351,24,furniture/equipment
32,male,2,own,little,,701,12,education
27,female,1,own,little,little,3643,15,furniture/equipment
28,male,3,own,little,moderate,4249,30,car
32,male,2,own,little,little,1938,24,radio/TV
34,male,3,free,little,little,2910,24,car
28,male,2,own,rich,little,2659,18,furniture/equipment
36,female,2,own,little,,1028,18,car
39,male,1,own,little,little,3398,8,car
49,male,2,rent,,,5801,12,furniture/equipment
34,female,2,own,rich,,1525,24,car
31,male,2,own,little,rich,4473,36,radio/TV
28,male,2,own,little,moderate,1068,6,radio/TV
75,male,3,free,little,little,6615,24,car
30,female,2,own,moderate,,1864,18,education
24,female,3,own,moderate,moderate,7408,60,car
24,female,1,rent,moderate,,11590,48,car
23,male,2,rent,little,little,4110,24,furniture/equipment
44,male,3,rent,little,little,3384,6,furniture/equipment
23,female,1,own,little,moderate,2101,13,radio/TV
24,female,2,rent,,little,1275,15,domestic appliances
28,male,2,own,little,little,4169,24,furniture/equipment
31,male,1,own,little,moderate,1521,10,furniture/equipment
24,female,2,free,little,moderate,5743,24,education
26,female,1,rent,little,little,3599,21,furniture/equipment
25,male,2,rent,quite rich,moderate,3213,18,radio/TV
33,male,3,own,little,moderate,4439,18,business
37,male,1,own,little,rich,3949,10,car
43,female,1,own,little,,1459,15,radio/TV
23,male,2,own,little,moderate,882,13,radio/TV
23,female,0,rent,quite rich,moderate,3758,24,radio/TV
34,male,1,own,moderate,,1743,6,business
32,male,2,free,rich,moderate,1136,9,education
23,female,2,rent,little,,1236,9,domestic appliances
29,female,2,own,little,moderate,959,9,furniture/equipment
38,male,3,own,,,3229,18,car
28,male,2,rent,little,little,6199,12,radio/TV
46,male,2,free,quite rich,,727,10,education
23,male,1,own,little,moderate,1246,24,car
49,male,2,own,,,2331,12,radio/TV
26,male,3,own,little,,4463,36,radio/TV
28,male,2,own,little,,776,12,radio/TV
23,female,2,rent,little,little,2406,30,furniture/equipment
61,male,2,free,,moderate,1239,18,education
37,male,3,own,,rich,3399,12,radio/TV
36,female,2,own,little,rich,2247,12,car
21,male,2,rent,little,,1766,6,furniture/equipment
25,male,0,own,little,little,2473,18,furniture/equipment
36,male,2,own,little,,1542,12,business
27,male,2,own,little,,3850,18,car
22,female,2,rent,little,little,3650,18,furniture/equipment
42,male,2,own,little,little,3446,36,furniture/equipment
40,female,2,rent,little,moderate,3001,18,furniture/equipment
36,male,2,own,,,3079,36,car
33,male,2,own,little,,6070,18,radio/TV
23,female,2,rent,little,,2146,10,furniture/equipment
63,male,3,free,,,13756,60,car
60,female,3,free,moderate,moderate,14782,60,vacation/others
37,female,2,rent,little,little,7685,48,business
34,male,2,own,little,,2320,18,radio/TV
36,male,2,free,,,846,7,radio/TV
57,male,3,free,little,moderate,14318,36,car
52,female,1,own,moderate,,362,6,car
39,male,2,own,,little,2212,20,furniture/equipment
38,female,3,free,little,moderate,12976,18,car
25,female,2,rent,,,1283,22,car
26,male,2,own,little,rich,1330,12,car
26,male,1,own,moderate,,4272,30,business
25,female,2,own,little,,2238,18,radio/TV
21,female,2,rent,,,1126,18,radio/TV
40,male,3,own,little,moderate,7374,18,furniture/equipment
27,male,2,own,quite rich,moderate,2326,15,business
27,female,2,own,little,,1449,9,business
30,male,3,own,little,,1820,18,car
19,female,1,rent,rich,moderate,983,12,furniture/equipment
39,male,3,free,little,little,3249,36,car
31,female,2,own,little,little,1957,6,radio/TV
31,male,3,own,little,,2406,9,furniture/equipment
32,male,2,rent,moderate,moderate,11760,39,education
55,female,3,free,little,little,2578,12,furniture/equipment
46,male,2,own,little,little,2348,36,furniture/equipment
46,male,2,rent,little,moderate,1223,12,car
43,female,1,own,rich,,1516,24,radio/TV
39,male,2,own,little,,1473,18,radio/TV
28,male,2,own,,moderate,1887,18,business
27,male,2,own,little,,8648,24,business
27,male,1,own,little,,802,14,car
43,male,2,own,,moderate,2899,18,car
22,male,2,own,little,moderate,2039,24,radio/TV
43,male,2,own,,,2197,24,car
27,male,2,own,little,little,1053,15,radio/TV
26,male,3,own,quite rich,,3235,24,radio/TV
28,male,2,own,quite rich,rich,939,12,car
20,female,2,own,little,moderate,1967,24,radio/TV
35,male,3,own,little,,7253,33,car
42,male,3,own,little,,2292,12,business
40,male,1,rent,quite rich,,1597,10,car
35,female,2,own,,little,1381,24,car
35,male,2,own,little,,5842,36,car
33,male,1,own,little,little,2579,12,car
23,female,2,rent,,little,8471,18,education
31,female,3,own,quite rich,,2782,21,car
33,female,2,own,,moderate,1042,18,car
20,female,2,rent,rich,,3186,15,car
30,male,2,own,,moderate,2028,12,car
47,male,1,own,little,moderate,958,12,car
34,male,3,own,moderate,,1591,21,furniture/equipment
25,female,2,own,,moderate,2762,12,furniture/equipment
21,male,2,rent,little,moderate,2779,18,car
29,male,2,own,little,,2743,28,radio/TV
46,male,2,own,rich,,1149,18,radio/TV
20,male,2,own,little,,1313,9,furniture/equipment
55,female,0,free,little,little,1190,18,repairs
74,male,1,own,little,,3448,5,business
29,male,3,own,little,moderate,11328,24,vacation/others
36,male,3,free,little,little,1872,6,furniture/equipment
33,male,2,own,little,,2058,24,repairs
25,male,2,own,little,little,2136,9,furniture/equipment
25,male,2,own,,moderate,1484,12,radio/TV
23,male,1,rent,quite rich,,660,6,repairs
37,female,2,own,rich,,1287,24,car
65,male,0,own,little,little,3394,42,repairs
26,female,0,own,little,rich,609,12,business
39,male,3,own,little,,1884,12,car
30,female,2,own,little,little,1620,12,furniture/equipment
29,male,2,own,little,moderate,2629,20,vacation/others
41,male,1,own,little,,719,12,education
30,female,3,own,little,moderate,5096,48,furniture/equipment
41,female,1,rent,,,1244,9,education
34,female,2,own,little,little,1842,36,car
35,male,2,own,little,moderate,2576,7,radio/TV
55,female,3,own,,rich,1424,12,furniture/equipment
61,male,2,own,rich,moderate,1512,15,repairs
30,male,3,own,,,11054,36,car
29,female,2,own,little,,518,6,radio/TV
34,male,2,own,little,,2759,12,furniture/equipment
35,male,3,own,little,,2670,24,car
31,male,2,own,little,little,4817,24,car
29,female,3,own,little,,2679,24,car
36,male,2,rent,little,little,3905,11,car
35,male,2,free,little,little,3386,12,car
27,female,2,own,little,little,343,6,domestic appliances
32,male,2,own,little,,4594,18,radio/TV
37,male,2,own,little,little,3620,36,furniture/equipment
36,male,2,own,little,little,1721,15,car
34,female,3,rent,little,moderate,3017,12,furniture/equipment
38,male,2,own,,moderate,754,12,education
34,male,2,own,little,,1950,18,business
63,male,2,own,little,little,2924,24,car
29,female,1,rent,little,little,1659,24,radio/TV
32,male,2,own,,,7238,48,radio/TV
26,female,2,own,little,,2764,33,business
35,male,1,own,little,,4679,24,car
22,male,2,rent,moderate,moderate,3092,24,radio/TV
23,female,2,own,little,little,448,6,education
28,male,1,own,little,little,654,9,car
36,male,3,own,,,1238,6,education
33,male,2,own,little,moderate,1245,18,radio/TV
26,female,2,rent,little,little,3114,18,furniture/equipment
24,male,2,own,quite rich,,2569,39,car
25,male,2,own,little,rich,5152,24,radio/TV
39,male,1,own,moderate,moderate,1037,12,business
44,male,2,own,little,little,1478,15,furniture/equipment
23,female,1,own,little,moderate,3573,12,radio/TV
26,male,2,own,little,moderate,1201,24,car
57,female,2,rent,rich,little,3622,30,furniture/equipment
30,female,2,own,rich,,960,15,furniture/equipment
44,male,2,own,quite rich,,1163,12,car
47,male,3,own,little,moderate,1209,6,car
